AOI,Species,Model,FMO,Period,Low_Score_AOI_Mean,Neutral_Score_AOI_Mean,High_Score_AOI_Mean,Low_Score_AOI_SD,Neutral_Score_AOI_SD,High_Score_AOI_SD
Aggie Creek (HUC12: 190803090403),CHK,ccsm,altfmo,0,0.43,0.54,0.69,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),CHK,ccsm,altfmo,1,0.43,0.53,0.69,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),CHK,ccsm,altfmo,2,0.41,0.52,0.67,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),CHK,ccsm,fmo,0,0.43,0.54,0.69,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),CHK,ccsm,fmo,1,0.42,0.53,0.68,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),CHK,ccsm,fmo,2,0.41,0.52,0.67,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),CHK,ccsm,nofmo,0,0.43,0.54,0.69,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),CHK,ccsm,nofmo,1,0.43,0.53,0.69,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),CHK,ccsm,nofmo,2,0.42,0.52,0.68,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),CHK,gfdl,altfmo,0,0.43,0.54,0.69,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),CHK,gfdl,altfmo,1,0.41,0.52,0.67,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),CHK,gfdl,altfmo,2,0.42,0.52,0.68,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),CHK,gfdl,fmo,0,0.43,0.54,0.69,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),CHK,gfdl,fmo,1,0.41,0.52,0.67,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),CHK,gfdl,fmo,2,0.42,0.53,0.68,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),CHK,gfdl,nofmo,0,0.43,0.54,0.69,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),CHK,gfdl,nofmo,1,0.43,0.54,0.69,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),CHK,gfdl,nofmo,2,0.44,0.55,0.7,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),GRA,ccsm,altfmo,0,0.01,0.11,0.26,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),GRA,ccsm,altfmo,1,0.0,0.11,0.26,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),GRA,ccsm,altfmo,2,-0.01,0.09,0.25,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),GRA,ccsm,fmo,0,0.01,0.11,0.26,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),GRA,ccsm,fmo,1,-0.0,0.1,0.26,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),GRA,ccsm,fmo,2,-0.01,0.09,0.25,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),GRA,ccsm,nofmo,0,0.01,0.11,0.26,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),GRA,ccsm,nofmo,1,0.0,0.11,0.26,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),GRA,ccsm,nofmo,2,-0.01,0.1,0.25,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),GRA,gfdl,altfmo,0,0.01,0.11,0.26,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),GRA,gfdl,altfmo,1,-0.01,0.09,0.24,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),GRA,gfdl,altfmo,2,-0.01,0.1,0.25,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),GRA,gfdl,fmo,0,0.01,0.11,0.26,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),GRA,gfdl,fmo,1,-0.01,0.09,0.25,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),GRA,gfdl,fmo,2,-0.0,0.1,0.25,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),GRA,gfdl,nofmo,0,0.01,0.11,0.26,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),GRA,gfdl,nofmo,1,0.01,0.11,0.26,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),GRA,gfdl,nofmo,2,0.02,0.12,0.27,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),NONE,ccsm,altfmo,0,0.43,0.54,0.69,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),NONE,ccsm,altfmo,1,0.43,0.53,0.69,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),NONE,ccsm,altfmo,2,0.41,0.52,0.67,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),NONE,ccsm,fmo,0,0.43,0.54,0.69,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),NONE,ccsm,fmo,1,0.42,0.53,0.68,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),NONE,ccsm,fmo,2,0.41,0.52,0.67,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),NONE,ccsm,nofmo,0,0.43,0.54,0.69,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),NONE,ccsm,nofmo,1,0.43,0.53,0.69,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),NONE,ccsm,nofmo,2,0.42,0.52,0.68,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),NONE,gfdl,altfmo,0,0.43,0.54,0.69,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),NONE,gfdl,altfmo,1,0.41,0.52,0.67,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),NONE,gfdl,altfmo,2,0.42,0.52,0.68,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),NONE,gfdl,fmo,0,0.43,0.54,0.69,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),NONE,gfdl,fmo,1,0.41,0.52,0.67,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),NONE,gfdl,fmo,2,0.42,0.53,0.68,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),NONE,gfdl,nofmo,0,0.43,0.54,0.69,0.09,0.09,0.09
Aggie Creek (HUC12: 190803090403),NONE,gfdl,nofmo,1,0.43,0.54,0.69,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),NONE,gfdl,nofmo,2,0.44,0.55,0.7,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,altfmo,0,-0.11,0.0,0.15,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,altfmo,1,-0.09,0.02,0.17,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,altfmo,2,-0.09,0.01,0.16,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,fmo,0,-0.11,0.0,0.15,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,fmo,1,-0.07,0.03,0.18,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,fmo,2,-0.09,0.02,0.17,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,nofmo,0,-0.11,0.0,0.15,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,nofmo,1,-0.1,0.0,0.16,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,nofmo,2,-0.09,0.02,0.17,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,altfmo,0,-0.11,0.0,0.15,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,altfmo,1,-0.06,0.05,0.2,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,altfmo,2,-0.06,0.05,0.2,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,fmo,0,-0.11,0.0,0.15,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,fmo,1,-0.07,0.04,0.19,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,fmo,2,-0.05,0.05,0.2,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,nofmo,0,-0.11,0.0,0.15,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,nofmo,1,-0.09,0.02,0.17,0.05,0.05,0.05
