AOI,RCA,StreamOrder,Model,Period,gsdd,mean_ann,min_ann,max_ann,mean_apr,mean_may,mean_jun,mean_jul,mean_aug,mean_sep,mean_oct
Allen Creek-Goldstream Creek (HUC12: 190803090707),2094,5,ccsm,0,1436.7,6.53,0.5,14.58,2.15,5.96,10.67,12.0,8.29,5.17,2.53
Allen Creek-Goldstream Creek (HUC12: 190803090707),2094,5,ccsm,1,1519.56,6.78,0.47,17.92,2.18,6.05,11.65,12.5,8.3,5.48,2.62
Allen Creek-Goldstream Creek (HUC12: 190803090707),2094,5,ccsm,2,1650.76,7.37,0.44,18.5,2.18,6.82,12.95,13.44,9.16,5.88,2.77
Allen Creek-Goldstream Creek (HUC12: 190803090707),2094,5,gfdl,0,1436.7,6.53,0.5,14.58,2.15,5.96,10.67,12.0,8.29,5.17,2.53
Allen Creek-Goldstream Creek (HUC12: 190803090707),2094,5,gfdl,1,1525.81,6.81,0.45,14.49,2.14,6.52,11.7,12.31,8.41,5.56,2.57
Allen Creek-Goldstream Creek (HUC12: 190803090707),2094,5,gfdl,2,1669.81,7.45,0.44,17.2,2.22,7.66,12.63,13.61,8.88,5.89,2.91
Allen Creek-Goldstream Creek (HUC12: 190803090707),2161,5,ccsm,0,1446.58,6.58,0.55,14.61,2.2,6.01,10.69,12.0,8.32,5.21,2.59
Allen Creek-Goldstream Creek (HUC12: 190803090707),2161,5,ccsm,1,1526.57,6.82,0.51,17.75,2.23,6.1,11.67,12.49,8.32,5.53,2.66
Allen Creek-Goldstream Creek (HUC12: 190803090707),2161,5,ccsm,2,1655.74,7.39,0.49,18.4,2.24,6.88,12.94,13.41,9.18,5.92,2.8
Allen Creek-Goldstream Creek (HUC12: 190803090707),2161,5,gfdl,0,1446.58,6.58,0.55,14.61,2.2,6.01,10.69,12.0,8.32,5.21,2.59
Allen Creek-Goldstream Creek (HUC12: 190803090707),2161,5,gfdl,1,1533.01,6.84,0.5,14.43,2.19,6.59,11.69,12.31,8.44,5.61,2.6
